ticker,datetime,datetime_int,open,close,high,low,volumn
AAPL,2021-11-19 04:00,1637312400000,158.5,158.5,158.62,158.46,6196
AAPL,2021-11-19 04:01,1637312460000,158.5,158.38,158.56,158.38,5370
AAPL,2021-11-19 04:02,1637312520000,158.34,158.51,158.54,158.34,2959
AAPL,2021-11-19 04:03,1637312580000,158.5,158.43,158.5,158.43,3690
AAPL,2021-11-19 04:04,1637312640000,158.22,158.43,158.43,158.22,1859
AAPL,2021-11-19 04:05,1637312700000,158.35,158.35,158.35,158.35,926
AAPL,2021-11-19 04:07,1637312820000,158.35,158.27,158.39,158.27,4147
AAPL,2021-11-19 04:08,1637312880000,158.29,158.29,158.29,158.28,6688
AAPL,2021-11-19 04:09,1637312940000,158.28,158.28,158.29,158.28,3959
AAPL,2021-11-19 04:10,1637313000000,158.3,158.32,158.4,158.3,4377
AAPL,2021-11-19 04:11,1637313060000,158.33,158.29,158.33,158.29,2668
AAPL,2021-11-19 04:12,1637313120000,158.3,158.29,158.3,158.28,2182
AAPL,2021-11-19 04:13,1637313180000,158.31,158.29,158.31,158.29,1332
AAPL,2021-11-19 04:14,1637313240000,158.29,158.3,158.3,158.29,2727
AAPL,2021-11-19 04:15,1637313300000,158.3,158.32,158.32,158.3,3182
AAPL,2021-11-19 04:16,1637313360000,158.31,158.28,158.32,158.28,6441
AAPL,2021-11-19 04:17,1637313420000,158.32,158.32,158.32,158.32,1952
AAPL,2021-11-19 04:18,1637313480000,158.32,158.32,158.32,158.32,858
AAPL,2021-11-19 04:19,1637313540000,158.34,158.34,158.34,158.34,832
AAPL,2021-11-19 04:20,1637313600000,158.35,158.35,158.35,158.35,517
AAPL,2021-11-19 04:21,1637313660000,158.33,158.33,158.33,158.33,3949
AAPL,2021-11-19 04:23,1637313780000,158.32,158.32,158.32,158.32,1257
AAPL,2021-11-19 04:24,1637313840000,158.31,158.3,158.31,158.3,1591
AAPL,2021-11-19 04:25,1637313900000,158.28,158.3,158.3,158.28,1822
AAPL,2021-11-19 04:26,1637313960000,158.3,158.32,158.32,158.3,2955
AAPL,2021-11-19 04:27,1637314020000,158.35,158.33,158.35,158.33,815
AAPL,2021-11-19 04:28,1637314080000,158.31,158.32,158.32,158.31,902
AAPL,2021-11-19 04:30,1637314200000,158.32,158.28,158.32,158.28,1197
AAPL,2021-11-19 04:32,1637314320000,158.28,158.28,158.28,158.28,514
AAPL,2021-11-19 04:33,1637314380000,158.3,158.3,158.3,158.3,1043
AAPL,2021-11-19 04:34,1637314440000,158.3,158.3,158.3,158.3,380
AAPL,2021-11-19 04:35,1637314500000,158.31,158.3,158.32,158.28,4561
AAPL,2021-11-19 04:36,1637314560000,158.3,158.3,158.31,158.3,2361
AAPL,2021-11-19 04:38,1637314680000,158.3,158.28,158.3,158.28,428
AAPL,2021-11-19 04:39,1637314740000,158.3,158.3,158.3,158.3,441
AAPL,2021-11-19 04:41,1637314860000,158.3,158.29,158.3,158.29,1233
AAPL,2021-11-19 04:42,1637314920000,158.28,158.25,158.29,158.25,3415
AAPL,2021-11-19 04:44,1637315040000,158.15,158.19,158.19,158.02,2299
AAPL,2021-11-19 04:45,1637315100000,158.1,158.1,158.1,158.1,1213
AAPL,2021-11-19 04:47,1637315220000,158.15,158.15,158.15,158.15,471
AAPL,2021-11-19 04:48,1637315280000,158.15,158.15,158.15,158.15,668
AAPL,2021-11-19 04:50,1637315400000,158.17,158.2,158.2,158.17,573
AAPL,2021-11-19 04:51,1637315460000,158.15,158.15,158.15,158.15,1413
AAPL,2021-11-19 04:52,1637315520000,158.15,158.15,158.15,158.15,625
AAPL,2021-11-19 04:54,1637315640000,158.09,158.09,158.09,158.09,949
AAPL,2021-11-19 04:59,1637315940000,158.08,158.1,158.1,158.05,6069
AAPL,2021-11-19 05:00,1637316000000,158.03,158,158.03,158,2189
AAPL,2021-11-19 05:03,1637316180000,157.9,157.9,157.9,157.9,487
AAPL,2021-11-19 05:04,1637316240000,157.9,157.9,157.9,157.9,482
AAPL,2021-11-19 05:05,1637316300000,157.87,157.9,157.92,157.87,2007
AAPL,2021-11-19 05:06,1637316360000,157.9,157.9,157.9,157.9,967
AAPL,2021-11-19 05:07,1637316420000,157.9,157.9,157.9,157.9,674
AAPL,2021-11-19 05:08,1637316480000,157.86,157.86,157.86,157.86,1793
AAPL,2021-11-19 05:09,1637316540000,157.82,157.85,157.85,157.82,556
AAPL,2021-11-19 05:10,1637316600000,157.83,157.82,157.83,157.82,1121
AAPL,2021-11-19 05:11,1637316660000,157.8,157.53,157.82,157.53,2877
AAPL,2021-11-19 05:12,1637316720000,157.54,157.54,157.54,157.54,293
AAPL,2021-11-19 05:13,1637316780000,157.55,157.54,157.56,157.54,1257
AAPL,2021-11-19 05:14,1637316840000,157.56,157.55,157.56,157.5,6907
AAPL,2021-11-19 05:15,1637316900000,157.55,157.61,157.61,157.55,1251
AAPL,2021-11-19 05:16,1637316960000,157.57,157.57,157.57,157.57,4606
AAPL,2021-11-19 05:17,1637317020000,157.67,157.64,157.68,157.51,1668
AAPL,2021-11-19 05:18,1637317080000,157.7,157.86,157.88,157.7,2282
AAPL,2021-11-19 05:19,1637317140000,157.89,157.92,157.92,157.89,3890
AAPL,2021-11-19 05:20,1637317200000,157.9,157.9,157.92,157.9,1633
