,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1947,2021-12-02 20:19:00,167.02269495878465,163.12889946779603,164.12137106078248,167.02269495878465,167.02269495878465,-3.3950837472166118,-3.3950837472166118,-3.3950837472166118,-3.3950837472166118,-3.3950837472166118,-3.3950837472166118,0.0,0.0,0.0,163.62761121156805
1948,2021-12-02 20:20:00,167.01644460191756,163.18978621954932,164.1017234113133,167.01644460191756,167.01644460191756,-3.386401876989973,-3.386401876989973,-3.386401876989973,-3.386401876989973,-3.386401876989973,-3.386401876989973,0.0,0.0,0.0,163.6300427249276
1949,2021-12-02 20:21:00,167.01019424505043,163.15967799119232,164.1052600644337,167.01019424505043,167.01019424505043,-3.3775952368175375,-3.3775952368175375,-3.3775952368175375,-3.3775952368175375,-3.3775952368175375,-3.3775952368175375,0.0,0.0,0.0,163.6325990082329
1950,2021-12-02 20:22:00,167.0039438881833,163.15267418503143,164.14463512861764,167.0039438881833,167.0039438881833,-3.368665427726796,-3.368665427726796,-3.368665427726796,-3.368665427726796,-3.368665427726796,-3.368665427726796,0.0,0.0,0.0,163.6352784604565
1951,2021-12-02 20:23:00,166.99769353131617,163.13579788134592,164.13207238561296,166.99769353131617,166.99769353131617,-3.35961408413287,-3.35961408413287,-3.35961408413287,-3.35961408413287,-3.35961408413287,-3.35961408413287,0.0,0.0,0.0,163.63807944718332
1952,2021-12-02 20:24:00,166.99144317444905,163.17398474076552,164.11507114254388,166.99144317444905,166.99144317444905,-3.3504428734313474,-3.3504428734313474,-3.3504428734313474,-3.3504428734313474,-3.3504428734313474,-3.3504428734313474,0.0,0.0,0.0,163.6410003010177
1953,2021-12-02 20:25:00,166.98519281758195,163.1426408182184,164.14591213240476,166.98519281758195,166.98519281758195,-3.3411534959657967,-3.3411534959657967,-3.3411534959657967,-3.3411534959657967,-3.3411534959657967,-3.3411534959657967,0.0,0.0,0.0,163.64403932161616
1954,2021-12-02 20:26:00,166.97894246071482,163.16768534509936,164.10434602570783,166.97894246071482,166.97894246071482,-3.331747684483731,-3.331747684483731,-3.331747684483731,-3.331747684483731,-3.331747684483731,-3.331747684483731,0.0,0.0,0.0,163.6471947762311
1955,2021-12-02 20:27:00,166.9726921038477,163.1408565212695,164.14610519513846,166.9726921038477,166.9726921038477,-3.322227203638127,-3.322227203638127,-3.322227203638127,-3.322227203638127,-3.322227203638127,-3.322227203638127,0.0,0.0,0.0,163.65046490020956
1956,2021-12-02 20:28:00,166.96644174698056,163.17116955473534,164.10842159545263,166.96644174698056,166.96644174698056,-3.3125938501442604,-3.3125938501442604,-3.3125938501442604,-3.3125938501442604,-3.3125938501442604,-3.3125938501442604,0.0,0.0,0.0,163.6538478968363
1957,2021-12-02 20:29:00,166.96019139011344,163.20389799270154,164.13430922862017,166.96019139011344,166.96019139011344,-3.302849451747888,-3.302849451747888,-3.302849451747888,-3.302849451747888,-3.302849451747888,-3.302849451747888,0.0,0.0,0.0,163.65734193836556
