,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-11-19 09:00:00,115.19493320555485,112.33243529502556,118.26503472720638,115.19493320555485,115.19493320555485,0.11852682595351044,0.11852682595351044,0.11852682595351044,0.03526202102778259,0.03526202102778259,0.03526202102778259,0.08326480492572785,0.08326480492572785,0.08326480492572785,0.0,0.0,0.0,115.31346003150836
1,2020-11-19 10:00:00,115.21166783641316,112.40372346647759,118.14683393459897,115.21166783641316,115.21166783641316,0.11081281912300137,0.11081281912300137,0.11081281912300137,0.026492014213809634,0.026492014213809634,0.026492014213809634,0.08432080490919173,0.08432080490919173,0.08432080490919173,0.0,0.0,0.0,115.32248065553615
2,2020-11-19 11:00:00,115.2284024672715,112.44949951352496,118.23834384452492,115.2284024672715,115.2284024672715,0.11964287759294594,0.11964287759294594,0.11964287759294594,0.03355475665719704,0.03355475665719704,0.03355475665719704,0.08608812093574887,0.08608812093574887,0.08608812093574887,0.0,0.0,0.0,115.34804534486445
3,2020-11-19 12:00:00,115.2451370981298,112.40279451008944,118.2202640265576,115.2451370981298,115.2451370981298,0.15444511265403763,0.15444511265403763,0.15444511265403763,0.06594547364835171,0.06594547364835171,0.06594547364835171,0.0884996390056859,0.0884996390056859,0.0884996390056859,0.0,0.0,0.0,115.39958221078383
4,2020-11-19 13:00:00,115.26187172898813,112.53038941438277,118.37341879627778,115.26187172898813,115.26187172898813,0.19119903093694957,0.19119903093694957,0.19119903093694957,0.09971967510882511,0.09971967510882511,0.09971967510882511,0.09147935582812447,0.09147935582812447,0.09147935582812447,0.0,0.0,0.0,115.45307075992507
5,2020-11-19 14:00:00,115.27860635984644,112.71218954130886,118.3768997676657,115.27860635984644,115.27860635984644,0.20661869179621975,0.20661869179621975,0.20661869179621975,0.11167545056775133,0.11167545056775133,0.11167545056775133,0.0949432412284684,0.0949432412284684,0.0949432412284684,0.0,0.0,0.0,115.48522505164266
6,2020-11-19 15:00:00,115.29534099070476,112.3425984826237,118.50328393235482,115.29534099070476,115.29534099070476,0.20482661258060295,0.20482661258060295,0.20482661258060295,0.106026418069266,0.106026418069266,0.106026418069266,0.098800194511337,0.098800194511337,0.098800194511337,0.0,0.0,0.0,115.50016760328536
7,2020-11-19 16:00:00,115.31207562156308,112.61491351936924,118.64196121482341,115.31207562156308,115.31207562156308,0.20933019849807588,0.20933019849807588,0.20933019849807588,0.10637711468094094,0.10637711468094094,0.10637711468094094,0.10295308381713492,0.10295308381713492,0.10295308381713492,0.0,0.0,0.0,115.52140582006116
8,2020-11-19 17:00:00,115.3288102524214,112.56594583136287,118.43643897020911,115.3288102524214,115.3288102524214,0.23248576677611862,0.23248576677611862,0.23248576677611862,0.1251859102567693,0.1251859102567693,0.1251859102567693,0.10729985651934938,0.10729985651934938,0.10729985651934938,0.0,0.0,0.0,115.56129601919753
9,2020-11-19 18:00:00,115.34554488327971,112.62432155829552,118.55911049501516,115.34554488327971,115.34554488327971,0.2586349187247953,0.2586349187247953,0.2586349187247953,0.1469002108705836,0.1469002108705836,0.1469002108705836,0.11173470785421172,0.11173470785421172,0.11173470785421172,0.0,0.0,0.0,115.60417980200451
10,2020-11-19 19:00:00,115.36227951413804,112.71721797195588,118.66135762699234,115.36227951413804,115.36227951413804,0.2610058417959958,0.2610058417959958,0.2610058417959958,0.14485654751728208,0.14485654751728208,0.14485654751728208,0.11614929427871368,0.11614929427871368,0.11614929427871368,0.0,0.0,0.0,115.62328535593403
11,2020-11-19 20:00:00,115.37901414499635,112.51507126655618,118.7652928278708,115.37901414499635,115.37901414499635,0.2341226928917376,0.2341226928917376,0.2341226928917376,0.11368871537668866,0.11368871537668866,0.11368871537668866,0.12043397751504897,0.12043397751504897,0.12043397751504897,0.0,0.0,0.0,115.61313683788808
12,2020-11-19 21:00:00,115.39574877585468,112.65278375543006,118.62022338579771,115.39574877585468,115.39574877585468,0.20429964769376116,0.20429964769376116,0.20429964769376116,0.07982056281104447,0.07982056281104447,0.07982056281104447,0.12447908488271676,0.12447908488271676,0.12447908488271676,0.0,0.0,0.0,115.60004842354844
13,2020-11-19 22:00:00,115.412483406713,112.75152242720242,118.86768186283267,115.412483406713,115.412483406713,0.20249354627436664,0.20249354627436664,0.20249354627436664,0.07431737496232631,0.07431737496232631,0.07431737496232631,0.1281761713120403,0.1281761713120403,0.1281761713120403,0.0,0.0,0.0,115.61497695298736
14,2020-11-19 23:00:00,115.42921803757132,112.87501379254047,118.62950229035938,115.42921803757132,115.42921803757132,0.22501324882737328,0.22501324882737328,0.22501324882737328,0.09359398039739618,0.09359398039739618,0.09359398039739618,0.13141926842997706,0.13141926842997706,0.13141926842997706,0.0,0.0,0.0,115.65423128639868
15,2020-11-20 00:00:00,115.44595266842963,112.39410411762753,118.71522184768337,115.44595266842963,115.44595266842963,0.22503810159070378,0.22503810159070378,0.22503810159070378,0.09093199532889007,0.09093199532889007,0.09093199532889007,0.1341061062618137,0.1341061062618137,0.1341061062618137,0.0,0.0,0.0,115.67099077002032
16,2020-11-20 09:00:00,115.5965643461545,112.75892549216114,118.5591151230647,115.5965643461545,115.5965643461545,0.15487739417425705,0.15487739417425705,0.15487739417425705,0.035262021029551095,0.035262021029551095,0.035262021029551095,0.11961537314470595,0.11961537314470595,0.11961537314470595,0.0,0.0,0.0,115.75144174032876
